TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,ALIGNMENT,ROADWAY_SURFACE_COND,POSTED_SPEED_LIMIT,TRAFFICWAY_TYPE,CRASH_TYPE,DAMAGE,MOST_SEVERE_INJURY,INJURIES_TOTAL,narratives
NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,OTHER,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"As I cruised down the straight and level road with no traffic controls in sight, the cloudy sky casting a soft overcast light over the surroundings, I couldn't help but feel a sense of calm. The daylight made everything clear and visible, allowing me to enjoy the drive at a leisurely pace within the 30 mph speed limit. The roadway surface felt a little different today, perhaps due to recent maintenance work giving it an unusual texture. Being on an undivided roadway meant keeping an eye out for vehicles coming from the opposite direction, but overall, the traffic flow was smooth. I took in the scenery, appreciating the moment of tranquility before the hustle and bustle of daily life would resume."
UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road on a straight and level stretch, not a care in the world. The traffic control device was unknown, so I had to pay extra attention to my surroundings. The weather condition was uncertain, with no clear indication of what the skies had in store for me. The lighting was also a mystery, adding an element of unpredictability to my journey. The roadway surface condition remained unknown, keeping me on my toes. The posted speed limit of 30 kept me in check as I navigated the non-divided trafficway. The road ahead stretched out endlessly, with no obstacles in sight."
NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"So there I was, driving down the road with no traffic lights or signs to heed. The weather was foggy, making visibility a real pain in the neck. Thankfully, the road was well-lit, but the darkness of the night coupled with the wet pavement didn't make things any easier. The alignment of the road was straight as an arrow, with no curves to break up the monotony. The speed limit was 30, which felt like a crawl given the conditions. The road wasn't divided either, so we had to share the narrow space with oncoming traffic. Overall, it was a tense drive, hoping to reach my destination safe and sound."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"Alright, so there I was cruising down the road with a traffic signal up ahead, indicating the intersection was controlled. The weather was clear, the sun shining brightly overhead as it was a typical daylight drive. The road itself was straight and level, with a divided trafficway featuring a median that wasn't raised. The pavement was dry, providing good traction for my car's tires, and the posted speed limit was a reasonable 30 miles per hour. As I approached the intersection, everything seemed calm and orderly, with other vehicles following the traffic rules like any other day."
NO CONTROLS,CLEAR,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,20,PARKING LOT,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising along through the parking lot, minding my own business on a clear day with no traffic lights to worry about. The road was straight and flat, and it seemed like a pretty chill drive. I wasn't sure about the lighting conditions though, but it didn't seem to be a big deal. The road surface was okay, I guess, and the speed limit was just 20 miles per hour, so I was taking it easy. Just another day in the parking lot, nothing too fancy going on."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down a one-way street with no traffic controls on a rainy night. The road was well lit, but the darkness made it tricky to see. The alignment was straight and level, but the wet surface added an extra level of challenge. The posted speed limit was 30, so I was taking it easy. The conditions had me on high alert, trying to navigate carefully through the slick road."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,25,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"As I drove down the familiar neighborhood street on my way home, I noticed that there were no traffic control devices in sight. The rain was coming down steadily, making it difficult to see clearly despite the streetlights illuminating the road. Thankfully, the road ahead was straight and level, providing some sense of stability in the dark and wet conditions. The wet road surface glistened under the glow of the lights, indicating a potentially slippery surface. I made a mental note to keep my speed in check, knowing that the posted speed limit was just 25 miles per hour. The road was not divided, with oncoming traffic sharing the same lane as me. Despite the challenging weather and lighting conditions, I remained cautious and alert, preparing to navigate the road safely to reach my destination."
NO CONTROLS,FREEZING RAIN/DRIZZLE,DARKNESS,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"Alright, so as I was driving down the straight and level road in the darkness, I noticed there were no traffic controls around. The weather wasn't doing me any favors either, with freezing rain coming down, making the road surface wet and slippery. I was just cruising along at 30, taking extra caution because of the conditions, thankful that the trafficway wasn't divided. The darkness and the wet road made it a bit challenging to see, but I kept my focus ahead, trying to make out any potential hazards. Little did I know what was about to happen, but in that moment, I was just another driver navigating through the wintry mix, hoping to reach my destination safely."
NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic controls in place. It was already dark, but luckily the road was well-lit. The weather condition was unknown, adding a sense of mystery to the drive. I was following the 30 mph speed limit, keeping a cautious eye on my surroundings. The road was not divided, so I had to stay alert for oncoming traffic. The surface condition of the roadway was also unknown, making me a bit uneasy. Despite the uncertain weather and road conditions, I continued on my journey, hoping for a smooth ride ahead."
NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, with no traffic controls in sight. The darkness enveloped the surroundings, but luckily the road was well-lit. I was driving along a divided highway with a median separating the lanes. The posted speed limit of 30 mph kept me in check as I continued on my journey. The weather condition was unknown, adding a hint of mystery to the night. The roadway surface condition was also a question mark, but my focus remained on the road ahead. The combination of these factors created an atmosphere of uncertainty as I navigated through the dimly lit highway."
NO CONTROLS,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,30,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I was driving down the one-way street with no traffic controls, I noticed that the weather was clear but darkness had already set in. The road seemed pretty straight and level, with a dry surface that provided good traction. The posted speed limit was 30 mph, so I made sure to keep my speed in check. Despite the darkness, the street lights were on, casting a dim glow along the road. It was a quiet night, with not many cars around as I navigated the empty street. The familiar route felt oddly serene in the peaceful surroundings. The road ahead stretched out before me, illuminated by the dim glow of the streetlights. My car hummed along smoothly, the only sound being the quiet hum of the engine as I made my way home."
NO CONTROLS,UNKNOWN,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,30,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the street with no traffic lights to stop me, just rolling along on this one-way road. The weather was a mystery to me, couldn't quite figure out if it was sunny or cloudy, but hey, it was broad daylight anyway. The road was as straight as an arrow, flat as a pancake, making it easy to keep my car on track. Not sure about the road surface condition, it seemed normal enough. The speed limit was 30 but I was just taking it easy, enjoying the drive with no rush. Just another day on the road, nothing out of the ordinary, until it all changed in an instant."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,35,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",INCAPACITATING INJURY,1,"As I cruised down the straight and level roadway on a sunny day, with no traffic control devices in sight, everything seemed pretty chill. The clear weather made the surroundings look even more vibrant under the daylight. The divided road with a median in the middle gave me a sense of safety, allowing me to enjoy the drive at the posted speed limit of 35 miles per hour. The dry road surface provided good traction under my tires, making the ride smooth and pleasant. It felt like the perfect day for a nice drive, with the surroundings passing by in a blur of colors."
TRAFFIC SIGNAL,RAIN,DAYLIGHT,"CURVE, LEVEL",WET,20,NOT DIVIDED,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was cruising along on a rainy day, enjoying the daylight as I navigated through a curved and level road. The traffic signal up ahead indicated I needed to slow down to 20 miles per hour due to the wet surface conditions. The road wasn't divided, so I had to be extra cautious of oncoming traffic. The rain made it a bit challenging to see clearly, but I kept my focus on the road ahead."
TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAWN,STRAIGHT AND LEVEL,WET,30,T-INTERSECTION,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road on a foggy dawn morning. The traffic signal ahead loomed through the haze, its lights dancing eerily. The wet pavement gleamed under the low light, adding an extra layer of challenge to the already tricky conditions. I double-checked my speedometer to make sure I was within the 30 mph limit for this area. Approaching a T-intersection, I could feel the tension build as I anticipated the need to slow down. My senses were on high alert, taking in the surroundings and adjusting my driving accordingly. It was a moment of heightened awareness as I navigated through the intersection, hoping that all other drivers would be as cautious as I was."
NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,30,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I drove down the straight and level one-way street, there were no traffic control devices in sight. The darkness enveloped the road, but thankfully, it was well-lit, guiding my way. I couldn't quite figure out the weather condition, as it seemed unknown to me. The road surface condition was also a mystery, adding an element of uncertainty to my journey. With a posted speed limit of 30, I made sure to keep a steady pace, keeping my eyes peeled for any potential hazards. The alignment of the road made for an easy drive, allowing me to focus on the path ahead. I continued on my route, unaware of what was about to unfold."
